Frame,MergeStartTime(ms),MergeEndTime(ms),Elapsed(ms)
143,1750234404492.473,1750234404513.349,20.875
144,1750234404526.456,1750234404547.796,21.341
145,1750234404559.351,1750234404580.342,20.991
146,1750234404591.993,1750234404613.305,21.312
147,1750234404625.420,1750234404645.251,19.832
148,1750234404660.180,1750234404678.827,18.647
149,1750234404692.959,1750234404714.917,21.957
150,1750234404725.623,1750234404744.969,19.345
151,1750234404759.296,1750234404776.144,16.848
152,1750234404793.133,1750234404814.066,20.933
153,1750234404826.455,1750234404843.734,17.279
154,1750234404859.693,1750234404878.257,18.564
155,1750234404893.317,1750234404914.221,20.904
156,1750234404925.961,1750234404947.672,21.712
157,1750234404959.291,1750234404981.777,22.485
158,1750234404993.010,1750234405012.417,19.407
159,1750234405027.276,1750234405047.196,19.920
160,1750234405060.470,1750234405080.591,20.120
161,1750234405093.439,1750234405113.000,19.561
162,1750234405126.531,1750234405149.451,22.921
163,1750234405175.910,1750234405194.641,18.731
164,1750234405210.243,1750234405230.770,20.527
165,1750234405243.014,1750234405263.488,20.474
166,1750234405276.025,1750234405315.003,38.978
167,1750234405326.912,1750234405347.980,21.069
168,1750234405360.979,1750234405378.752,17.772
169,1750234405393.900,1750234405412.855,18.955
170,1750234405427.140,1750234405445.004,17.864
171,1750234405461.000,1750234405479.896,18.896
172,1750234405493.206,1750234405513.005,19.799
173,1750234405526.091,1750234405545.958,19.867
174,1750234405560.823,1750234405687.747,126.924
175,1750234405711.370,1750234405732.385,21.015
176,1750234405742.671,1750234405763.939,21.268
177,1750234405776.859,1750234405796.260,19.400
178,1750234405810.441,1750234405830.791,20.350
179,1750234405843.834,1750234405864.789,20.955
180,1750234405876.666,1750234405897.777,21.112
181,1750234405909.367,1750234405929.419,20.052
182,1750234405943.143,1750234405962.375,19.232
183,1750234405977.052,1750234405994.914,17.862
184,1750234406009.677,1750234406030.312,20.634
185,1750234406043.634,1750234406064.142,20.508
186,1750234406076.463,1750234406096.482,20.019
187,1750234406110.271,1750234406130.295,20.025
188,1750234406143.693,1750234406163.855,20.162
189,1750234406177.768,1750234406198.542,20.775
190,1750234406210.864,1750234406230.693,19.829
191,1750234406243.994,1750234406265.661,21.667
192,1750234406278.260,1750234406300.433,22.173
193,1750234406310.790,1750234406330.341,19.551
194,1750234406344.216,1750234406363.530,19.314
195,1750234406377.833,1750234406399.546,21.713
196,1750234406409.834,1750234406430.590,20.756
197,1750234406443.365,1750234406468.556,25.190
198,1750234406493.134,1750234406513.132,19.998
199,1750234406527.520,1750234406547.755,20.235
200,1750234406561.435,1750234406581.532,20.097
201,1750234406594.435,1750234406613.638,19.203
202,1750234406627.385,1750234406654.974,27.590
203,1750234406678.060,1750234406699.167,21.107
204,1750234406728.371,1750234406747.701,19.330
205,1750234406760.452,1750234406782.276,21.824
206,1750234406843.109,1750234406865.343,22.234
207,1750234406894.713,1750234406916.275,21.562
208,1750234406944.787,1750234406964.485,19.697
209,1750234406978.249,1750234406999.902,21.652
210,1750234407012.259,1750234407035.677,23.418
211,1750234407045.344,1750234407066.673,21.329
212,1750234407077.817,1750234407097.840,20.023
213,1750234407111.277,1750234407131.335,20.058
214,1750234407143.730,1750234407166.108,22.378
215,1750234407177.809,1750234407199.146,21.337
216,1750234407211.348,1750234407232.660,21.312
217,1750234407244.877,1750234407265.614,20.736
218,1750234407277.600,1750234407297.860,20.260
219,1750234407310.106,1750234407331.593,21.487
220,1750234407344.842,1750234407365.294,20.452
221,1750234407378.163,1750234407398.475,20.312
222,1750234407411.165,1750234407433.348,22.183
223,1750234407443.840,1750234407467.780,23.940
224,1750234407495.914,1750234407522.752,26.838
225,1750234407546.539,1750234407567.676,21.137
226,1750234407578.006,1750234407598.482,20.476
227,1750234407631.653,1750234407651.138,19.485
228,1750234407677.866,1750234407700.191,22.325
229,1750234407712.153,1750234407734.856,22.702
230,1750234407761.926,1750234407781.187,19.261
231,1750234407795.439,1750234407815.277,19.838
232,1750234407827.788,1750234407848.103,20.315
233,1750234407862.037,1750234407881.039,19.001
234,1750234407895.706,1750234407917.692,21.986
235,1750234407928.460,1750234407947.580,19.120
236,1750234407962.077,1750234407982.691,20.614
237,1750234407995.433,1750234408015.729,20.296
238,1750234408028.916,1750234408048.693,19.778
239,1750234408062.002,1750234408080.798,18.796
240,1750234408096.225,1750234408135.141,38.917
