Frame,Start(ms),End(ms),Elapsed(ms)
144,1751260462700.564,1751260462739.099,38.534
145,1751260462739.099,1751260462777.396,38.297
146,1751260462777.396,1751260462814.990,37.595
147,1751260462814.990,1751260462853.715,38.725
148,1751260462853.715,1751260462892.888,39.172
149,1751260462892.888,1751260462934.823,41.935
150,1751260462934.823,1751260462974.285,39.462
151,1751260462974.285,1751260463017.096,42.811
152,1751260463017.096,1751260463054.755,37.658
153,1751260463054.755,1751260463087.845,33.091
154,1751260463089.189,1751260463126.421,37.231
155,1751260463126.421,1751260463164.556,38.135
156,1751260463165.561,1751260463203.452,37.892
157,1751260463203.452,1751260463250.070,46.618
158,1751260463251.067,1751260463290.564,39.497
159,1751260463290.564,1751260463330.625,40.061
160,1751260463330.625,1751260463366.146,35.520
161,1751260463367.157,1751260463405.448,38.291
162,1751260463405.448,1751260463443.321,37.873
163,1751260463443.812,1751260463479.479,35.666
164,1751260463479.479,1751260463519.185,39.706
165,1751260463519.185,1751260463556.991,37.806
166,1751260463558.004,1751260463595.721,37.717
167,1751260463595.721,1751260463635.300,39.578
168,1751260463635.300,1751260463672.614,37.314
169,1751260463673.618,1751260463710.031,36.413
170,1751260463710.031,1751260463750.635,40.603
171,1751260463750.635,1751260463787.918,37.284
172,1751260463787.918,1751260463824.335,36.417
173,1751260463825.823,1751260463860.828,35.005
174,1751260463861.837,1751260463898.690,36.853
175,1751260463900.084,1751260463937.065,36.981
176,1751260463937.640,1751260463973.748,36.108
177,1751260463973.748,1751260464011.593,37.845
178,1751260464011.593,1751260464049.945,38.352
179,1751260464049.945,1751260464086.607,36.662
180,1751260464086.607,1751260464123.738,37.131
181,1751260464123.738,1751260464162.875,39.137
182,1751260464163.871,1751260464198.695,34.824
183,1751260464200.105,1751260464236.558,36.453
184,1751260464236.558,1751260464274.424,37.866
185,1751260464274.424,1751260464313.640,39.216
186,1751260464314.892,1751260464350.285,35.393
187,1751260464351.625,1751260464388.946,37.321
188,1751260464388.946,1751260464424.351,35.405
189,1751260464424.351,1751260464461.679,37.328
190,1751260464462.685,1751260464500.310,37.625
191,1751260464501.320,1751260464539.345,38.025
192,1751260464539.345,1751260464577.202,37.857
193,1751260464577.202,1751260464612.721,35.519
194,1751260464612.721,1751260464646.026,33.305
195,1751260464646.026,1751260464685.239,39.213
196,1751260464685.239,1751260464720.559,35.320
197,1751260464721.650,1751260464756.035,34.385
198,1751260464757.035,1751260464800.506,43.471
199,1751260464801.953,1751260464838.882,36.929
200,1751260464838.882,1751260464876.429,37.547
201,1751260464877.456,1751260464913.533,36.077
202,1751260464914.942,1751260464952.283,37.341
203,1751260464952.937,1751260464985.740,32.803
204,1751260464987.023,1751260465022.169,35.146
205,1751260465023.228,1751260465060.801,37.573
206,1751260465060.801,1751260465100.391,39.590
207,1751260465100.391,1751260465138.053,37.662
208,1751260465138.053,1751260465174.465,36.412
209,1751260465175.487,1751260465224.528,49.041
210,1751260465224.528,1751260465260.697,36.169
211,1751260465262.113,1751260465295.640,33.527
212,1751260465295.640,1751260465331.749,36.109
213,1751260465331.749,1751260465371.110,39.361
214,1751260465371.110,1751260465407.704,36.594
215,1751260465407.704,1751260465444.664,36.960
216,1751260465444.664,1751260465487.700,43.036
217,1751260465487.700,1751260465523.821,36.121
218,1751260465523.821,1751260465558.637,34.816
219,1751260465558.637,1751260465597.813,39.176
220,1751260465597.813,1751260465639.012,41.200
221,1751260465639.012,1751260465676.305,37.293
222,1751260465676.305,1751260465715.509,39.204
223,1751260465715.509,1751260465755.001,39.492
224,1751260465756.005,1751260465791.235,35.230
225,1751260465792.287,1751260465832.025,39.737
226,1751260465833.031,1751260465872.104,39.073
227,1751260465872.104,1751260465909.154,37.050
228,1751260465909.154,1751260465948.864,39.710
229,1751260465949.869,1751260465987.828,37.959
230,1751260465989.283,1751260466024.440,35.158
231,1751260466024.440,1751260466064.367,39.927
232,1751260466064.787,1751260466102.379,37.592
233,1751260466102.379,1751260466141.675,39.297
234,1751260466143.033,1751260466181.359,38.326
235,1751260466181.359,1751260466218.320,36.961
236,1751260466218.320,1751260466269.580,51.260
237,1751260466270.304,1751260466309.577,39.273
