frame,start,end,elapsed_ms
69,1755505556.8450027,1755505556.850551,5.548238754272461
70,1755505556.8777897,1755505556.8839905,6.2007904052734375
71,1755505556.9108472,1755505556.9180222,7.174968719482422
72,1755505556.944938,1755505556.9507995,5.861520767211914
73,1755505556.9782052,1755505556.984267,6.061792373657227
74,1755505557.011945,1755505557.0175157,5.570650100708008
75,1755505557.044227,1755505557.050065,5.838155746459961
76,1755505557.0775158,1755505557.0843742,6.858348846435547
77,1755505557.1141338,1755505557.1207843,6.650447845458984
78,1755505557.141332,1755505557.1474416,6.109714508056641
79,1755505557.1772635,1755505557.183416,6.15239143371582
80,1755505557.2112222,1755505557.2175803,6.358146667480469
138,1755505559.2711294,1755505559.2767258,5.596399307250977
139,1755505559.303534,1755505559.308381,4.847049713134766
140,1755505559.3354313,1755505559.3405516,5.120277404785156
141,1755505559.3664863,1755505559.3720717,5.585432052612305
142,1755505559.4001706,1755505559.4068503,6.679773330688477
143,1755505559.433276,1755505559.4398866,6.610631942749023
144,1755505559.4675627,1755505559.4741278,6.565093994140625
145,1755505559.5019524,1755505559.5080886,6.136178970336914
146,1755505559.5326173,1755505559.5387228,6.1054229736328125
148,1755505559.599614,1755505559.6047053,5.091428756713867
149,1755505559.6372795,1755505559.642392,5.112409591674805
150,1755505559.6668122,1755505559.6714132,4.601001739501953
151,1755505559.699082,1755505559.7057252,6.6432952880859375
152,1755505559.7358992,1755505559.74196,6.06083869934082
153,1755505559.7739897,1755505559.780199,6.209373474121094
155,1755505559.8325164,1755505559.839276,6.7596435546875
