frame,start,end,elapsed_ms
48,1755505556.1519127,1755505556.1605752,8.66246223449707
49,1755505556.1801713,1755505556.1885605,8.38923454284668
87,1755505557.4448357,1755505557.4519978,7.1620941162109375
88,1755505557.4779038,1755505557.4860787,8.174896240234375
89,1755505557.5289023,1755505557.5357738,6.871461868286133
90,1755505557.5615084,1755505557.5686986,7.190227508544922
96,1755505557.772046,1755505557.7805204,8.474349975585938
102,1755505558.0039654,1755505558.0111175,7.152080535888672
103,1755505558.0350971,1755505558.0422175,7.120370864868164
104,1755505558.069257,1755505558.0769424,7.685422897338867
105,1755505558.1031966,1755505558.1102915,7.094860076904297
106,1755505558.1399577,1755505558.147766,7.808446884155273
107,1755505558.169854,1755505558.1780982,8.24427604675293
108,1755505558.2015517,1755505558.209824,8.272409439086914
109,1755505558.2359915,1755505558.2426167,6.625175476074219
110,1755505558.2704127,1755505558.2768,6.387233734130859
111,1755505558.3031611,1755505558.3098216,6.66046142578125
112,1755505558.3361742,1755505558.3422947,6.120443344116211
113,1755505558.3694143,1755505558.3760157,6.6013336181640625
119,1755505558.5696673,1755505558.575833,6.165742874145508
120,1755505558.6029413,1755505558.6096535,6.712198257446289
121,1755505558.6360521,1755505558.6444728,8.420705795288086
122,1755505558.6707616,1755505558.6779287,7.16710090637207
123,1755505558.7035508,1755505558.7112718,7.720947265625
124,1755505558.737459,1755505558.744529,7.070064544677734
125,1755505558.77015,1755505558.7777555,7.605552673339844
126,1755505558.802718,1755505558.809535,6.817102432250977
127,1755505558.8366935,1755505558.8443358,7.642269134521484
128,1755505558.8699079,1755505558.877576,7.668256759643555
136,1755505559.188805,1755505559.195903,7.097959518432617
147,1755505559.5671432,1755505559.57582,8.676767349243164
