frame,start,end,elapsed_ms
0,1755505565.806106,1755505565.8149197,8.813619613647461
1,1755505566.1484003,1755505566.1617022,13.301849365234375
2,1755505566.2007768,1755505566.209941,9.164094924926758
3,1755505566.2724638,1755505566.2806902,8.226394653320312
4,1755505566.3371675,1755505566.3475401,10.372638702392578
5,1755505566.3840353,1755505566.392741,8.705615997314453
6,1755505566.414908,1755505566.4235537,8.645772933959961
7,1755505566.4445724,1755505566.4533734,8.800983428955078
8,1755505566.4763973,1755505566.4845357,8.138418197631836
9,1755505566.5072339,1755505566.5159054,8.67152214050293
10,1755505566.5396848,1755505566.5484393,8.754491806030273
11,1755505566.5700033,1755505566.5787168,8.713483810424805
12,1755505566.6008844,1755505566.6099894,9.10496711730957
13,1755505566.6323302,1755505566.6414306,9.10043716430664
14,1755505566.6644194,1755505566.6731598,8.740425109863281
15,1755505566.697497,1755505566.7061946,8.697748184204102
16,1755505566.7294855,1755505566.7387917,9.306192398071289
17,1755505566.7694516,1755505566.776597,7.145404815673828
18,1755505566.815866,1755505566.8245647,8.698701858520508
19,1755505566.8734326,1755505566.8819745,8.54182243347168
20,1755505566.921739,1755505566.9300072,8.268117904663086
21,1755505566.9503675,1755505566.9585912,8.223772048950195
22,1755505566.9812644,1755505566.99006,8.795738220214844
23,1755505567.0144796,1755505567.022705,8.225440979003906
24,1755505567.0534272,1755505567.0620377,8.61048698425293
25,1755505567.085548,1755505567.0957184,10.170459747314453
26,1755505567.144448,1755505567.1531417,8.693695068359375
27,1755505567.18649,1755505567.1956663,9.176254272460938
28,1755505567.2266576,1755505567.235228,8.570432662963867
29,1755505567.2598848,1755505567.269003,9.118080139160156
30,1755505567.2970338,1755505567.3056695,8.635759353637695
