frame,start,end,elapsed_ms
53,1755505556.3110743,1755505556.3151617,4.0874481201171875
54,1755505556.3447561,1755505556.3487842,4.028081893920898
55,1755505556.3769293,1755505556.3820312,5.101919174194336
56,1755505556.4108438,1755505556.4154184,4.57453727722168
57,1755505556.4446826,1755505556.4493394,4.656791687011719
58,1755505556.4781609,1755505556.4832647,5.103826522827148
59,1755505556.510952,1755505556.5155587,4.606723785400391
60,1755505556.5441902,1755505556.5487487,4.558563232421875
61,1755505556.577953,1755505556.5820632,4.110097885131836
