FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,ViewFrame
89,308.1724,401.6736,1052.9160,336.5405,175.1960,0.0000,138
90,325.5858,401.6736,1053.8030,339.7838,177.0811,0.0000,139
91,359.6092,401.6736,1053.8680,347.5676,180.6689,0.0000,141
92,392.7425,401.6736,1052.7490,352.6487,182.3716,0.0000,143
93,425.0988,401.6736,1050.9420,357.7297,183.5878,0.0000,145
94,443.1226,401.6736,1049.6780,359.8919,184.0135,0.0000,146
95,462.0413,401.6736,1048.3500,359.8919,184.0135,0.0000,147
96,495.6811,401.6736,1045.9900,359.8919,184.0135,0.0000,149
97,514.0747,401.6736,1044.7000,359.8919,184.0135,0.0000,150
98,531.9952,415.4911,1043.4680,359.8919,184.0135,0.0000,151
99,571.5320,446.9902,1022.5440,359.8919,184.0135,0.0000,153
100,601.4568,471.4257,996.0408,359.8919,184.0135,0.0000,155
101,618.8857,485.6575,980.6049,359.8919,184.0135,0.0000,156
102,652.2359,485.7088,951.0139,359.8919,184.0135,0.0000,158
103,671.0751,485.7088,949.6921,359.8919,184.0135,0.0000,159
104,703.0582,485.7088,946.7290,354.3784,185.7770,0.0000,161
105,721.9805,485.7088,943.9581,351.3514,188.3311,0.0000,162
106,742.7148,485.7088,940.0165,349.7297,190.7635,0.0000,163
107,759.0150,485.7088,936.1945,349.5135,195.6892,0.0000,165
108,759.0150,485.7088,936.1945,350.1622,197.5135,0.0000,166
109,720.9764,485.7088,951.0374,354.8108,202.3784,0.0000,168
110,690.5342,485.7088,964.3089,356.5406,203.7770,0.0000,170
111,674.3484,485.7088,971.4604,356.6487,203.8378,0.0000,171
112,663.6068,484.9095,991.1285,356.6487,203.8378,0.0000,172
113,669.3440,484.0782,1004.1130,356.6487,203.8378,0.0000,173
114,679.1716,482.6542,1026.3560,356.6487,203.8378,0.0000,175
115,689.4404,481.1664,1049.5970,356.6487,203.8378,0.0000,177
116,694.8780,480.3785,1061.9030,356.6487,203.8378,0.0000,178
117,669.2441,479.6422,1086.9740,356.6487,203.8378,0.0000,180
118,652.6710,479.6422,1094.2970,356.6487,203.8378,0.0000,181
119,636.0147,479.6422,1101.6560,356.6487,203.8378,0.0000,182
120,615.0286,479.6422,1110.9290,356.6487,203.8378,0.0000,183
121,598.6669,479.6422,1118.1580,356.6487,203.8378,0.0000,184
122,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,186
123,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,188
124,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,190
125,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,192
126,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,193
127,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,195
128,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,197
129,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,198
130,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,200
131,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,201
132,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,202
133,568.0048,479.6422,1131.7060,356.6487,203.8378,0.0000,203
